setup_id,tf,entry_price,atr14,median_atr14_20d,vol_z,dynamic_stop_candidate_price,dynamic_stop_candidate_R,applied_stop_price,applied_stop_distance,applied_stop_R,stop_cap_used,rr_planned,rr_realized,p_hit,conf,outcome,mfe_R,mae_R,shadow_valid,shadow_notes,ts
AUTO-ETHUSDT-1h-20250821_130012,1h,4259.1347857142855,36.549285714285624,59.75107142857142,0.6116925578142637,25.554808714285713,0.5999999999999999,4301.726133571428,42.591347857142864,1.0,,1.7000000000000064,,,0.7397309345479829,pending,,,True,pct_capped,2025-08-21 21:00:12
DEMO-1,1h,50000.0,653.8964032053913,643.1957102077496,1.0166367605191045,300.0,0.6,49500.0,500.0,1.0,,2.0,,,0.75,pending,,,True,pct_capped,2025-08-21 21:48:07
DEMO-2,4h,50000.0,653.8964032053913,643.1957102077496,1.0166367605191045,500.0,0.6666666666666666,49250.0,750.0,1.0,,2.5,,,0.8,pending,,,True,pct_capped,2025-08-21 21:48:07
DEMO-3,15m,1000.0,653.8964032053913,643.1957102077496,1.0166367605191045,3.5,0.7,995.0,5.0,1.0,,1.8,,,0.65,pending,,,True,pct_capped,2025-08-21 21:48:07
AUTO-ETHUSDT-1h-20250821_150011,1h,4286.323071428571,40.543571428571276,51.66571428571417,0.7847287507603815,25.717938428571426,0.5999999999999939,4329.186302142857,42.863230714286146,1.0,,1.699999999999998,,,0.7191956982438428,pending,,,True,pct_capped,2025-08-21 23:00:11
AUTO-ETHUSDT-1h-20250821_160012,1h,4254.936785714285,39.689285714285624,47.90357142857134,0.8285245657198237,25.529620714285713,0.5999999999999994,4297.486153571428,42.5493678571429,1.0,,1.7000000000000022,,,0.7149472949405136,pending,,,True,pct_capped,2025-08-22 00:00:12
AUTO-ETHUSDT-1h-20250821_170012,1h,4234.564428571428,39.98142857142856,45.56499999999989,0.8774592027088479,25.407386571428567,0.6000000000000023,4276.910072857142,42.345644285714116,1.0,,1.6999999999999935,,,0.7963439634823326,pending,,,True,pct_capped,2025-08-22 01:00:12
AUTO-ETHUSDT-1h-20250821_180012,1h,4254.477071428571,41.02357142857142,44.38499999999989,0.9242665636717703,25.52686242857143,0.5999999999999998,4297.021842142857,42.54477071428573,1.0,,1.7000000000000064,,,0.6937624421101201,pending,,,True,pct_capped,2025-08-22 02:00:12
AUTO-ETHUSDT-1h-20250821_190013,1h,4273.959857142857,40.8328571428572,43.78142857142855,0.9326524619049191,25.643759142857142,0.600000000000003,4316.699455714285,42.73959857142836,1.0,,1.7000000000000042,,,0.717058019303786,pending,,,True,pct_capped,2025-08-22 03:00:13
AUTO-ETHUSDT-1h-20250821_200013,1h,4239.255,42.54999999999999,43.78142857142855,0.9718732665513756,25.43553,0.5999999999999932,4281.647550000001,42.39255000000048,1.0,,1.6999999999999957,,,0.7470845257378814,pending,,,True,pct_capped,2025-08-22 04:00:13
AUTO-ETHUSDT-1h-20250821_230012,1h,4266.815571428571,43.81857142857143,43.78142857142855,1.0008483701504232,25.60089342857143,0.6000000000000015,4309.483727142857,42.668155714285604,1.0,,1.7000000000000042,,,0.7558124056594621,pending,,,True,pct_capped,2025-08-22 07:00:12
AUTO-ETHUSDT-1h-20250822_000014,1h,4238.121214285715,43.97071428571436,43.78142857142855,1.00432342480504,25.428727285714288,0.5999999999999979,4280.502426428572,42.381212142857294,1.0,,1.699999999999998,,,0.6916465639171722,pending,,,True,pct_capped,2025-08-22 08:00:14
AUTO-ETHUSDT-1h-20250822_020013,1h,4271.134357142857,42.8478571428572,43.78142857142855,0.9786765425653426,25.62680614285714,0.6000000000000053,4313.845700714285,42.71134357142819,1.0,,1.7000000000000064,,,0.6716313871745105,pending,,,True,pct_capped,2025-08-22 10:00:13
AUTO-ETHUSDT-1h-20250822_030012,1h,4304.195214285714,43.550714285714356,43.78142857142855,0.9947303161810312,25.825171285714287,0.5999999999999943,4347.237166428572,43.041952142857554,1.0,,1.7,,,0.671862575968432,pending,,,True,pct_capped,2025-08-22 11:00:12
AUTO-ETHUSDT-4h-20250822_040111,4h,4302.609857142857,80.2328571428571,100.40392857142845,0.7991007750835025,43.02609857142858,0.6666666666666675,4367.149005,64.53914785714278,1.0,,1.7999999999999943,,,0.9607084312374092,pending,,,True,pct_capped,2025-08-22 12:01:11
AUTO-ETHUSDT-4h-20250822_041007,4h,4319.560571428571,81.86857142857141,100.40392857142845,0.8153921125738542,43.19560571428571,0.6666666666666746,4384.353979999999,64.79340857142779,1.0,,1.8000000000000027,,,1.0528882301081661,pending,,,True,pct_capped,2025-08-22 12:10:07
ETHUSDT-4h-20250822_123645,4h,4398.010285714286,82.17714285714283,100.40392857142845,0.818465412921379,43.98010285714286,0.6666666666666721,4463.980439999999,65.97015428571376,1.0,,2.0,,,0.5812194272875786,pending,,,True,pct_capped,2025-08-22 12:36:46
AUTO-ETHUSDT-4h-20250822_050023,4h,4305.620285714286,82.4342857142857,100.40392857142845,0.8210264965443166,43.056202857142864,0.6666666666666687,4370.20459,64.5843042857141,1.0,,1.8000000000000027,,,0.8830438912061866,pending,,,True,pct_capped,2025-08-22 13:00:23
AUTO-ETHUSDT-4h-20250822_051707,4h,4308.900285714286,82.4342857142857,100.40392857142845,0.8210264965443166,43.08900285714286,0.6666666666666741,4373.5337899999995,64.63350428571357,1.0,,1.8000000000000056,,,0.8718233341850677,pending,,,True,pct_capped,2025-08-22 13:17:07
ETHUSDT-15m-20250822_155154,15m,4344.382142857143,18.78428571428562,19.816428571428528,0.9479147893162212,15.2053375,0.7000000000000065,4366.104053571428,21.721910714285514,1.0,,1.5,,,0.6601691444714864,pending,,,True,pct_capped,2025-08-22 15:51:55
ETHUSDT-15m-20250822_162851,15m,4355.3875,19.894999999999982,19.483214285714244,1.0211354096016731,15.24385625,0.7000000000000063,4377.1644375,21.776937499999804,1.0,,1.5,,,0.6292934318383535,pending,,,True,pct_capped,2025-08-22 16:28:53
AUTO-BTCUSDT-4h-20250822_090022,4h,113209.80249999999,917.8500000000006,1116.7092857142875,0.821923854078916,1132.098025,0.66666666666667,114907.94953749998,1698.1470374999917,1.0,,1.7999999999999965,,,0.6346701152316255,pending,,,True,pct_capped,2025-08-22 17:00:22
ETHUSDT-15m-20250822_172938,15m,4325.728214285715,20.416428571428565,19.483214285714244,1.0478983740582573,15.140048750000002,0.7000000000000083,4347.356855357143,21.62864107142832,1.0,,1.5,,,0.7595122853914896,pending,,,True,pct_capped,2025-08-22 17:29:39
AUTO-BTCUSDT-4h-20250822_100022,4h,113281.52339285714,927.4535714285719,1116.7092857142875,0.8305237390726443,1132.8152339285714,0.6666666666666683,114980.74624374999,1699.2228508928529,1.0,,1.8000000000000018,,,0.7635552922268618,pending,,,True,pct_capped,2025-08-22 18:00:22
AUTO-BTCUSDT-4h-20250822_110022,4h,112771.8107142857,949.0828571428574,1116.7092857142875,0.8498925094330078,1127.718107142857,0.6666666666666682,114463.38787499999,1691.5771607142815,1.0,,1.7999999999999983,,,0.7947617537284203,pending,,,True,pct_capped,2025-08-22 19:00:22
ADAUSDT-5m-20250822_201001,5m,0.8296928571428572,0.002785714285714288,0.0025249999999999956,1.103253182461106,0.0033428571428571457,0.4029029675353171,0.8379897857142858,0.008296928571428608,1.0,,1.5,,,0.8613053659598032,pending,,,True,baseline,2025-08-22 20:10:02
BTCUSDT-4h-20250823_044455,4h,117665.96678571428,1271.0935714285722,1164.2760714285732,1.0917458518828214,1176.6596678571427,0.6666666666666701,119430.95628749998,1764.9895017857052,1.0,,2.0,,,0.6421374678611755,pending,,,True,pct_capped,2025-08-23 04:44:56
AUTO-ETHUSDT-4h-20250823_050020,4h,4776.334821428572,118.77928571428576,103.50071428571414,1.1476180288610867,47.76334821428571,0.6666666666666733,4847.979843749999,71.64502232142786,1.0,,1.8000000000000025,,,0.9619715454401965,pending,,,True,pct_capped,2025-08-23 13:00:20
AUTO-ETHUSDT-4h-20250823_060022,4h,4778.66375,120.01500000000007,103.50071428571414,1.1595572149260553,47.7866375,0.6666666666666748,4850.343706249999,71.67995624999912,1.0,,1.7999999999999974,,,0.9655362201971375,pending,,,True,pct_capped,2025-08-23 14:00:22
AUTO-ETHUSDT-4h-20250823_070020,4h,4775.91375,120.01500000000007,103.50071428571414,1.1595572149260553,47.7591375,0.6666666666666684,4847.5524562499995,71.63870624999981,1.0,,1.7999999999999974,,,0.9477078060353645,pending,,,True,pct_capped,2025-08-23 15:00:20
AUTO-ETHUSDT-4h-20250823_080020,4h,4745.2325,115.81000000000002,103.50071428571414,1.118929475987055,47.452325,0.6666666666666724,4816.4109874999995,71.17848749999939,1.0,,1.799999999999995,,,1.1287587145881268,pending,,,True,pct_capped,2025-08-23 16:00:20
AUTO-ETHUSDT-4h-20250823_090020,4h,4748.910892857142,117.84357142857152,103.50071428571414,1.1385773735170934,47.489108928571426,0.6666666666666753,4820.1445562499985,71.23366339285622,1.0,,1.8000000000000052,,,1.0363214701295917,pending,,,True,pct_capped,2025-08-23 17:00:20
AUTO-ETHUSDT-4h-20250823_100020,4h,4768.107678571429,118.75071428571437,103.50071428571414,1.1473419783162322,47.68107678571429,0.666666666666673,4839.629293749999,71.52161517857076,1.0,,1.7999999999999974,,,1.0410895460542864,pending,,,True,pct_capped,2025-08-23 18:00:20
AUTO-BTCUSDT-4h-20250823_110019,4h,115885.42803571429,1249.5921428571423,1164.2760714285732,1.0732782142674167,1158.854280357143,0.6666666666666725,117623.70945624998,1738.281420535699,1.0,,1.7999999999999983,,,0.9468086197543162,pending,,,True,pct_capped,2025-08-23 19:00:19
AUTO-BTCUSDT-4h-20250823_120019,4h,115620.71017857143,1242.3207142857148,1164.2760714285732,1.0670327637682877,1156.2071017857143,0.6666666666666726,117355.02083124999,1734.310652678556,1.0,,1.8000000000000016,,,0.818819523743311,pending,,,True,pct_capped,2025-08-23 20:00:19
AUTO-BTCUSDT-4h-20250823_160020,4h,115122.33464285715,1237.8185714285719,1164.2760714285732,1.0631658605761447,1151.2233464285716,0.6666666666666692,116849.1696625,1726.835019642851,1.0,,1.8000000000000034,,,0.9632710487076777,pending,,,True,pct_capped,2025-08-24 00:00:20
AUTO-BTCUSDT-4h-20250823_200020,4h,115427.66321428571,1174.9728571428568,1178.3603571428584,0.9971252427328638,1154.2766321428571,0.6666666666666736,117159.07816249998,1731.4149482142675,1.0,,1.7999999999999967,,,0.9371513581523663,pending,,,True,pct_capped,2025-08-24 04:00:20
AUTO-BTCUSDT-4h-20250824_000020,4h,115722.83660714286,1139.1464285714278,1186.943214285715,0.9597311942652197,1157.2283660714286,0.6666666666666736,117458.67915624999,1735.8425491071248,1.0,,1.8000000000000016,,,1.0056653521689076,pending,,,True,pct_capped,2025-08-24 08:00:20
BTCUSDT-4h-20250824_100249,4h,116053.32357142857,1166.8671428571417,1186.943214285715,0.9830859040374104,1160.5332357142856,0.6666666666666722,117794.12342499998,1740.7998535714141,1.0,,2.0,,,0.677966465552648,pending,,,True,pct_capped,2025-08-24 10:02:51
ETHUSDT-4h-20250824_101820,4h,4718.959999999999,116.03999999999996,105.81785714285697,1.0966013027776855,47.18959999999999,0.6666666666666622,4648.175599999999,70.78440000000046,1.0,,2.0,,,0.5841021537780762,pending,,,True,pct_capped,2025-08-24 10:18:21
ETHUSDT-4h-20250824_183942,4h,4680.1025,112.57499999999995,113.14392857142863,0.9949716385261493,46.801025,0.6666666666666659,4609.9009625,70.20153750000009,1.0,,2.0,,,0.5933089852333069,pending,,,True,pct_capped,2025-08-24 18:39:44
AUTO-BTCUSDT-4h-20250824_200018,4h,112830.39875,921.5950000000001,1199.370357142856,0.7683990141255673,1128.3039875,0.6666666666666691,114522.85473124999,1692.4559812499938,1.0,,1.7999999999999965,,,0.9620214633247193,pending,,,True,pct_capped,2025-08-25 04:00:18
AUTO-BTCUSDT-4h-20250825_000020,4h,113737.31946428571,974.9578571428564,1199.370357142856,0.8128914070090946,1137.3731946428572,0.6666666666666708,115443.37925624999,1706.059791964275,1.0,,1.7999999999999983,,,1.0125822737273162,pending,,,True,pct_capped,2025-08-25 08:00:20
AUTO-BTCUSDT-4h-20250825_040021,4h,113223.8625,1041.4900000000011,1199.370357142856,0.8683639659738148,1132.238625,0.6666666666666734,114922.22043749999,1698.3579374999827,1.0,,1.8000000000000018,,,1.0092215927336181,pending,,,True,pct_capped,2025-08-25 12:00:21
AUTO-BTCUSDT-4h-20250825_080019,4h,111774.72642857143,1052.7057142857145,1199.370357142856,0.8777153012131078,1117.7472642857144,0.6666666666666707,113451.347325,1676.6208964285615,1.0,,1.7999999999999983,,,0.948755043333377,pending,,,True,pct_capped,2025-08-25 16:00:19
BTCUSDT-4h-20250825_180459,4h,112260.39607142856,1114.0521428571435,1199.370357142856,0.9288641629521696,1122.6039607142857,0.6666666666666737,113944.30201249997,1683.9059410714108,1.0,,2.0,,,0.6475315690040588,pending,,,True,pct_capped,2025-08-25 18:05:01
AUTO-BTCUSDT-4h-20250826_000020,4h,112513.83410714286,1181.8964285714287,1216.7517857142857,0.9713537653676872,1125.1383410714286,0.6666666666666696,114201.54161875,1687.7075116071355,1.0,,1.7999999999999983,,,1.0142524018662324,pending,,,True,pct_capped,2025-08-26 00:00:20
AUTO-BTCUSDT-4h-20250826_080019,4h,110454.76428571428,1371.1371428571417,1250.1171428571433,1.096806927807907,1104.5476428571428,0.6666666666666702,112111.58574999998,1656.8214642857056,1.0,,1.8000000000000036,,,1.009265737959281,pending,,,True,pct_capped,2025-08-26 08:00:19
AUTO-BTCUSDT-4h-20250826_120017,4h,110241.45196428572,1442.1678571428565,1250.1171428571433,1.1536261744613638,1102.4145196428572,0.666666666666672,111895.07374374999,1653.6217794642725,1.0,,1.7999999999999965,,,0.8334004371547794,pending,,,True,pct_capped,2025-08-26 12:00:17
BTCUSDT-4h-20250826_134207,4h,111035.65142857144,1472.1028571428562,1250.1171428571433,1.1775719304019496,1110.3565142857144,0.6666666666666714,112701.1862,1665.53477142856,1.0,,2.0,,,0.6737854679425558,pending,,,True,pct_capped,2025-08-26 13:42:08
BTCUSDT-4h-20250826_201351,4h,110427.74607142858,1498.3521428571435,1250.1171428571433,1.198569391211338,1104.2774607142858,0.6666666666666712,112084.1622625,1656.4161910714174,1.0,,2.0,,,0.665572851896286,pending,,,True,pct_capped,2025-08-26 20:13:52
BTCUSDT-4h-20250826_205611,4h,110793.86535714286,1563.730714285715,1250.1171428571433,1.2508673472885972,1107.9386535714286,0.6666666666666692,112455.7733375,1661.9079803571367,1.0,,2.0,,,0.6636639436086019,pending,,,True,pct_capped,2025-08-26 20:56:13
