currency,expiry_ts,inst_call,inst_put,iv_call25,iv_put25,rr25,underlying,updated_at
ETH,1755331200000,ETH-16AUG25-4500-C,ETH-16AUG25-4400-P,0.5732,0.605,-0.03179999999999994,4452.54,2025-08-16T00:23:07.399223+00:00
ETH,1755417600000,ETH-17AUG25-4550-C,ETH-17AUG25-4350-P,0.5227,0.5461,-0.023399999999999976,4452.54,2025-08-16T00:23:28.520447+00:00
ETH,1755504000000,ETH-18AUG25-4600-C,ETH-18AUG25-4325-P,0.5613,0.5729,-0.011599999999999944,4452.54,2025-08-16T00:23:49.580960+00:00
ETH,1755417600000,ETH-17AUG25-4500-C,ETH-17AUG25-4375-P,0.3997,0.4413,-0.041600000000000026,4438.0,2025-08-16T09:54:30.125946+00:00
ETH,1755504000000,ETH-18AUG25-4550-C,ETH-18AUG25-4325-P,0.46909999999999996,0.5044,-0.0353,4438.0,2025-08-16T09:54:51.865836+00:00
ETH,1755590400000,ETH-19AUG25-4600-C,ETH-19AUG25-4300-P,0.5767,0.6063000000000001,-0.02960000000000007,4438.0,2025-08-16T09:55:05.196665+00:00
