id,asset,interval,direction,entry,stop,target,rr,size_units,notional_usd,leverage,created_at,expires_at,status,confidence,trigger_rule,entry_buffer_bps,origin
BTCUSDT-1h-20250820_094924,BTCUSDT,1h,short,113253.4519982143,113899.17914107144,112091.14314107144,1.8,6.194566922340067e-05,7.015560875889668,1.0,2025-08-20 10:31:17.559092+08:00,2025-08-21 10:31:17.559092+08:00,stop,0.6597926914691925,touch,5.0,manual
BTCUSDT-1h-20250820_095559,BTCUSDT,1h,short,113497.6840532143,114143.41119607144,112335.37519607144,1.8,6.194566922340067e-05,7.03068999398245,1.0,2025-08-20 10:31:17.559174+08:00,2025-08-21 10:31:17.559174+08:00,cancelled,0.6964361866315206,touch,5.0,manual
AUTO-BTCUSDT-1h-20250820_020023,BTCUSDT,1h,short,113232.58710669645,113856.62353526786,112109.32153526784,1.8,0.0064098822069682,725.8075453441903,1.814518863360476,2025-08-20 10:31:17.559255+08:00,2025-08-21 10:31:17.559255+08:00,stop,0.8467778390376727,touch,5.0,auto
BTCUSDT-1h-20250820_100932,BTCUSDT,1h,short,113494.60572910712,114132.57930053573,112346.2533005357,1.8,0.1567463049857553,17789.860083852676,6.999999999999992,2025-08-20 10:31:17.559336+08:00,2025-08-21 10:31:17.559336+08:00,stop,0.6387485911448797,touch,5.0,manual
BTCUSDT-1h-20250820_130703,BTCUSDT,1h,short,113874.7539225,114350.8839225,113017.71992249998,1.8,8.401066935500727e-05,9.566694299665963,1.0,2025-08-20 13:09:09.994238+08:00,2025-08-21 13:09:09.994238+08:00,cancelled,0.6431349168221155,touch,5.0,manual
BTCUSDT-1h-20250820_131229,BTCUSDT,1h,short,113794.02822267856,114276.32750839285,112925.88950839284,1.8,8.293605482073292e-05,9.437627762948098,1.0,2025-08-20 13:25:48.097214+08:00,2025-08-21 13:25:48.097214+08:00,cancelled,0.6572580635547638,touch,5.0,manual
TEST-NEW-1755666948,BTCUSDT,1h,short,113806.875,114306.875,112906.875,1.8,0.008,910.455,2.2761375,2025-08-20 13:25:48.097259+08:00,2025-08-21 13:25:48.097259+08:00,cancelled,0.75,touch,5.0,test
TEST-10X-1755667234,BTCUSDT,1h,short,113806.875,114306.875,112906.875,1.8,0.008,910.455,2.2761375,2025-08-20 13:25:48.097284+08:00,2025-08-21 13:25:48.097284+08:00,cancelled,0.75,touch,5.0,test
BTCUSDT-1h-20250820_132624,BTCUSDT,1h,short,113858.20994035716,114342.60851178571,112986.29251178572,1.8,8.257662668581745e-05,9.4020268973603,1.0,2025-08-20 15:36:45.976893+08:00,2025-08-21 15:36:45.976893+08:00,cancelled,0.6063646525144577,touch,5.0,manual
DEBUG-1755667743,BTCUSDT,1h,short,114165.054,114665.054,113265.054,1.8,0.008,913.320432,2.28330108,2025-08-20 15:36:45.976967+08:00,2025-08-21 15:36:45.976967+08:00,cancelled,0.75,touch,5.0,debug
BTCUSDT-1h-20250820_133023,BTCUSDT,1h,short,114165.054,114665.054,113265.054,1.8,0.008,913.320432,2.28330108,2025-08-20 15:36:45.977121+08:00,2025-08-21 15:36:45.977121+08:00,cancelled,0.75,touch,5.0,manual
ETHUSDT-1h-20250820_153740,ETHUSDT,1h,short,4217.826788035714,4260.104645178571,4141.726645178572,1.8,0.0009461217455946,3.9905776433121054,1.0,2025-08-20 15:54:39.680443+08:00,2025-08-21 15:54:39.680443+08:00,cancelled,0.6158289511998495,touch,5.0,manual
BTCUSDT-1h-20250820_154813,BTCUSDT,1h,short,114165.054,114665.054,113265.054,1.8,0.008,913.320432,2.28330108,2025-08-20 15:54:39.680560+08:00,2025-08-21 15:54:39.680560+08:00,cancelled,0.75,touch,5.0,manual
BTCUSDT-1h-20250820_155504,BTCUSDT,1h,short,113829.50809660714,114287.75166803572,113004.66966803573,1.8,0.0351402730881099,4000.0,10.0,2025-08-20 17:06:18.206258+08:00,2025-08-21 17:06:18.206258+08:00,target,0.6652760381499926,touch,5.0,manual
BTCUSDT-1h-20250820_160628,BTCUSDT,1h,short,113762.99235535711,114191.2709267857,112992.0909267857,1.8,0.0351608191485096,4000.0,9.999999999999998,2025-08-20 17:06:18.206384+08:00,2025-08-21 17:06:18.206384+08:00,target,0.6591251740852991,touch,5.0,manual
BTCUSDT-1h-20250820_164535,BTCUSDT,1h,short,114251.65978125,114708.90478125,113428.61878125,1.8,0.0218701133965381,2498.6967551586386,10.0,2025-08-20 17:06:18.206489+08:00,2025-08-21 17:06:18.206489+08:00,cancelled,0.6362103074789047,touch,5.0,manual
BTCUSDT-1h-20250820_165742,BTCUSDT,1h,short,114239.48333892858,114700.06762464286,113410.43162464286,1.8,0.008753540989267,1000.0,10.0,2025-08-20 17:06:18.206589+08:00,2025-08-21 17:06:18.206589+08:00,cancelled,0.6522596726814905,touch,5.0,manual
BTCUSDT-1h-20250820_170641,BTCUSDT,1h,short,114082.53097339286,115223.3562831268,112029.04541587178,1.8,0.0087655839282986,1000.0,10.0,2025-08-20 17:21:31.611287+08:00,2025-08-21 17:21:31.611287+08:00,cancelled,0.6390675604343414,touch,5.0,manual
AUTO-BTCUSDT-1h-20250821_040011,BTCUSDT,1h,short,114173.57432946427,114821.15861517856,113007.92261517856,1.8,0.0154420053429338,1763.0689448174437,10.0,2025-08-21 12:04:55.192728+08:00,,executed,0.5329023949826142,touch,5.0,auto
AUTO-ETHUSDT-1h-20250821_090013,ETHUSDT,1h,short,4296.776214285715,4339.743976428572,4219.434242428571,1.8,0.2327326232805062,999.9999999999968,10.0,2025-08-21 17:09:06.512626+08:00,,executed,0.7285476979961971,touch,5.0,auto
ETHUSDT-4h-20250821_171923,ETHUSDT,4h,short,4291.694642857143,4356.070062499999,4008.848214285714,2.0,0.1553387932145261,666.6666666666755,10.0,2025-08-21 18:03:02.394557+08:00,,triggered,0.8055555621782938,touch,5.0,manual
AUTO-ETHUSDT-1h-20250821_100014,ETHUSDT,1h,short,4286.8288571428575,4329.697145714286,4209.665937714286,1.8,0.2332726668884298,999.9999999999942,10.0,2025-08-21 18:03:02.394701+08:00,,executed,0.7891817717288495,touch,5.0,auto
