ts,asset,interval,signal,confidence,prob_up,prob_down,price
2025-08-15 07:00:00+00:00,BTCUSDT,1h,short,0.7660256410256411,0.23397435897435895,0.7660256410256411,118833.4
2025-08-15 09:00:00+00:00,BTCUSDT,1h,short,0.7765151515151515,0.2234848484848485,0.7765151515151515,118936.5
2025-08-15 09:30:00+00:00,BTCUSDT,15m,short,0.7329262242874371,0.2670737757125629,0.732926224287437,118787.8
2025-08-15 09:35:00+00:00,BTCUSDT,5m,flat,0.5362036128101219,0.4637963871898781,0.536203612810122,118860.6
2025-08-15 09:35:00+00:00,BTCUSDT,5m,flat,0.5363585393203647,0.4636414606796353,0.5363585393203647,118829.0
2025-08-15 09:35:00+00:00,BTCUSDT,5m,flat,0.5314141414141416,0.4685858585858585,0.5314141414141416,118791.5
2025-08-15 09:35:00+00:00,BTCUSDT,5m,flat,0.5290282609189915,0.4709717390810086,0.5290282609189914,118753.5
2025-08-15 09:30:00+00:00,BTCUSDT,15m,short,0.7474358974358974,0.25256410256410255,0.7474358974358974,118782.5
2025-08-15 09:45:00+00:00,BTCUSDT,15m,short,0.8293650793650794,0.1706349206349206,0.8293650793650794,118724.7
2025-08-15 18:00:00+08:00,BTCUSDT,15m,short,0.6356159215242406,0.3643840784757593,0.6356159215242407,118920.1
2025-08-15 18:15:00+08:00,BTCUSDT,15m,short,0.7261904761904763,0.2738095238095238,0.7261904761904763,118937.6
2025-08-16 08:30:00+08:00,BTCUSDT,15m,short,0.6284013605442177,0.37159863945578236,0.6284013605442176,117651.77
2025-08-16 08:30:00+08:00,BTCUSDT,15m,short,0.6105374774023083,0.38946252259769154,0.6105374774023085,117665.64
2025-08-16 08:30:00+08:00,BTCUSDT,15m,short,0.615167107031938,0.38483289296806195,0.615167107031938,117697.01
2025-08-16 08:30:00+08:00,BTCUSDT,15m,short,0.615167107031938,0.38483289296806195,0.615167107031938,117678.27
2025-08-16 10:00:00+08:00,BTCUSDT,1h,short,0.6250594929779871,0.37494050702201287,0.6250594929779871,117486.74
2025-08-16 10:00:00+08:00,BTCUSDT,1h,short,0.6263318112633182,0.3736681887366819,0.626331811263318,117499.45
2025-08-16 10:00:00+08:00,BTCUSDT,1h,short,0.610569207653517,0.389430792346483,0.610569207653517,117507.37
2025-08-16 11:00:00+08:00,BTCUSDT,1h,short,0.5490902051877661,0.45090979481223387,0.5490902051877662,117576.1
2025-08-16 11:15:00+08:00,BTCUSDT,15m,short,0.6916329284750337,0.30836707152496623,0.6916329284750338,117576.1
2025-08-16 11:15:00+08:00,BTCUSDT,15m,short,0.6924478072019055,0.3075521927980944,0.6924478072019056,117577.09
2025-08-16 11:15:00+08:00,BTCUSDT,15m,short,0.695072900955254,0.3049270990447461,0.6950729009552539,117657.97
2025-08-16 11:30:00+08:00,BTCUSDT,15m,short,0.6703009773825906,0.3296990226174094,0.6703009773825905,117616.62
2025-08-16 11:30:00+08:00,BTCUSDT,15m,short,0.6689103502097357,0.3310896497902644,0.6689103502097355,117606.21
2025-08-16 11:45:00+08:00,BTCUSDT,15m,short,0.621446243814665,0.3785537561853351,0.6214462438146648,117504.73
2025-08-16 12:00:00+08:00,BTCUSDT,15m,short,0.6705840455840456,0.32941595441595445,0.6705840455840455,117435.46
2025-08-16 12:00:00+08:00,BTCUSDT,1h,short,0.5695922528032619,0.4304077471967381,0.569592252803262,117435.46
2025-08-16 12:00:00+08:00,BTCUSDT,4h,short,0.6021442495126705,0.39785575048732946,0.6021442495126705,117435.46
2025-08-16 12:00:00+08:00,BTCUSDT,15m,short,0.6705840455840456,0.32941595441595445,0.6705840455840455,117435.46
2025-08-16 12:00:00+08:00,BTCUSDT,15m,short,0.6705840455840456,0.32941595441595445,0.6705840455840455,117435.46
2025-08-16 13:00:00+08:00,BTCUSDT,1h,short,0.6889746889746889,0.311025311025311,0.688974688974689,117817.52
2025-08-16 13:00:00+08:00,BTCUSDT,15m,short,0.6784612132741493,0.32153878672585073,0.6784612132741492,117792.09
2025-08-16 13:00:00+08:00,BTCUSDT,15m,short,0.676651505306476,0.3233484946935239,0.6766515053064761,117728.98
2025-08-16 13:00:00+08:00,BTCUSDT,1h,short,0.5110334743729635,0.4889665256270365,0.5110334743729634,117617.65
2025-08-16 12:00:00+08:00,BTCUSDT,4h,short,0.6259760415151074,0.37402395848489256,0.6259760415151074,117624.06
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6438976645162212,0.35610233548377873,0.6438976645162213,117624.07
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6438976645162212,0.35610233548377873,0.6438976645162213,117627.06
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6425481368509041,0.35745186314909594,0.6425481368509041,117638.39
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6425481368509041,0.35745186314909594,0.6425481368509041,117638.39
2025-08-16 13:00:00+08:00,BTCUSDT,1h,flat,0.49743365642759313,0.5025663435724069,0.4974336564275931,117574.1
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6283628989814557,0.37163710101854425,0.6283628989814558,117585.11
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6251252863688431,0.37487471363115693,0.625125286368843,117596.3
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6251252863688431,0.37487471363115693,0.625125286368843,117597.69
2025-08-16 13:30:00+08:00,BTCUSDT,15m,short,0.6251252863688431,0.37487471363115693,0.625125286368843,117597.68
